contspp,target,type
Agrostis capillaris,,grass
Agrostis stolonifera,,grass
Alopecurus geniculatus,,grass
Alopecurus pratensis,,grass
Anthoxanthum odoratum,,grass
Arrhenatherum elatius,,grass
Avenula pratense,,grass
Avenula pubescens,,grass
Bromus hordaceus,,grass
Cynosurus cristatus,,grass
Dactylis glomerata,,grass
Deschampsia cespitosa,,grass
Elytrigia repens,,grass
Festuca ovina,,grass
Festuca rubra,,grass
Glyceria fluitans,,grass
Holcus lanatus,,grass
Holcus mollis,,grass
Lolium perenne,,grass
Molinia caerulea,,grass
Phleum pratense,,grass
Poa annua,,grass
Poa pratensis,,grass
Poa spp,,grass
Poa trivialis,,grass
Schedonorus pratensis,,grass
Trisetum flavescens,,grass
Vulpia bromoides,,grass
Achillea millefolium,,forb
Achillea ptarmica,positive,forb
Alchemilla glabra,positive,forb
Alchemilla xanthochlora,positive,forb
Anemone nemorosa,positive,forb
Anthriscus sylvestris,negative,forb
Bellis perennis,,forb
Caltha palustris,positive,forb
Campanula rotundifolia,,forb
Cardamine pratensis,,forb
Carex disticha,,sedge
Carex flacca,positive,sedge
Carex hirta,,sedge
Carex nigra,positive,sedge
Carex spp,,sedge
Centaurea nigra,positive,forb
Cerastium fontanum,,forb
Cerastium glomeratum,negative,forb
Cirsium arvense,negative,forb
Cirsium palustre,,forb
Cirsium vulgare,negative,forb
Conopodium majus,positive,forb
Crepis capillaris,,forb
Crepis paludosa,,forb
Cruciata laevipes,,forb
Digitalis purpurea,,forb
Epilobium parviflorum,,forb
Equisetum sylvaticum,,forb
Euphrasia agg.,positive,forb
Filipendula ulmaria,positive,forb
Galium aparine,negative,forb
Galium mollugo,,forb
Galium odoratum,,forb
Galium saxatile,,forb
Galium spp,,forb
Galium verum,,forb
Geranium pratense,positive,forb
Geranium sylvaticum,positive,forb
Heracleum sphondylium,negative,forb
Hypochaeris radicata,,forb
Juncus acutiflorus,,rush
Juncus articulatus,,rush
Juncus conglomeratus,negative,rush
Juncus effusus,negative,rush
Juncus inflexus,,rush
Lathyrus pratensis,positive,legume
Leontodon autumnalis,positive,forb
Leontodon hispidus,positive,forb
Leucanthemum vulgare,,forb
Lotus corniculatus,positive,legume
Lotus pedunculatus,,legume
Luzula campestris,,rush
Luzula multiflora,,rush
Lychnis flos-culculi,positive,forb
Medicago spp,negative,forb
Montia fontana,,forb
Myosotis arvensis,,forb
Myosotis discolor,,forb
Ophioglossum vulgatum,,forb
Plantago lanceolata,,forb
Plantago major,negative,forb
Potentilla erecta,,forb
Prunella vulgaris,,forb
Pteridium aquilineum,,forb
Ranunculus acris,,forb
Ranunculus bulbosus,,forb
Ranunculus ficaria,,forb
Ranunculus repens,,forb
Rhinanthus minor,positive,parasite
Rumex acetosa,,forb
Rumex crispus,negative,forb
Rumex obtusifolius,negative,forb
Sanguisorba officinalis,positive,forb
Senecio jacobea,negative,forb
Silene dioica,,forb
Sonchus oleraceus,negative,forb
Stachys officianalis,,forb
Stellaria graminea,,forb
Stellaria holostea,,forb
Stellaria media,negative,forb
Succisa pratensis,,forb
Taraxacum agg.,,forb
Trifolium campestre,,legume
Trifolium dubium,,legume
Trifolium pratense,,legume
Trifolium repens,,legume
Urtica dioica,negative,forb
Veronica agrestis,,forb
Veronica arvensis,,forb
Veronica chamaedrys,,forb
Veronica filiformis,,forb
Veronica officinalis,,forb
Veronica serpyllifoilum,,forb
Veronica spp,,forb
Vicia cracca,,legume
Vicia sepium,,legume
Viola spp,,forb
