siteref,ngr,Area,easting,northing,fieldnum,restdate,resttype,date,Agrostis capillaris,Agrostis stolonifera,Alopecurus geniculatus,Alopecurus pratensis,Anthoxanthum odoratum,Arrhenatherum elatius,Avenula pratense,Avenula pubescens,Bromus hordaceus,Cynosurus cristatus,Dactylis glomerata,Deschampsia cespitosa,Elytrigia repens,Festuca ovina,Festuca rubra,Glyceria fluitans,Holcus lanatus,Holcus mollis,Lolium perenne,Molinia caerulea,Phleum pratense,Poa annua,Poa pratensis,Poa spp,Poa trivialis,Schedonorus pratensis,Trisetum flavescens,Vulpia bromoides,Achillea millefolium,Achillea ptarmica,Alchemilla glabra,Alchemilla xanthochlora,Anemone nemorosa,Anthriscus sylvestris,Bellis perennis,Caltha palustris,Campanula rotundifolia,Cardamine pratensis,Carex disticha,Carex flacca,Carex hirta,Carex nigra,Carex spp,Centaurea nigra,Cerastium fontanum,Cerastium glomeratum,Cirsium arvense,Cirsium palustre,Cirsium vulgare,Conopodium majus,Crepis capillaris,Crepis paludosa,Cruciata laevipes,Digitalis purpurea,Epilobium parviflorum,Equisetum sylvaticum,Euphrasia agg.,Filipendula ulmaria,Galium aparine,Galium mollugo,Galium odoratum,Galium saxatile,Galium spp,Galium verum,Geranium pratense,Geranium sylvaticum,Heracleum sphondylium,Hypochaeris radicata,Juncus acutiflorus,Juncus articulatus,Juncus conglomeratus,Juncus effusus,Juncus inflexus,Lathyrus pratensis,Leontodon autumnalis,Leontodon hispidus,Leucanthemum vulgare,Lotus corniculatus,Lotus  pedunculatus,Luzula campestris,Luzula multiflora,Lychnis flos-culculi,Medicago spp,Montia fontana,Myosotis arvensis,Myosotis discolor,Ophioglossum vulgatum,Plantago lanceolata,Plantago major,Potentilla erecta,Prunella vulgaris,Pteridium aquilineum,Ranunculus acris,Ranunculus bulbosus,Ranunculus ficaria,Ranunculus repens,Rhinanthus minor,Rumex acetosa,Rumex crispus,Rumex obtusifolius,Sanguisorba officinalis,Senecio jacobea,Silene dioica,Sonchus oleraceus,Stachys officianalis,Stellaria graminea,Stellaria holostea,Stellaria media,Succisa pratensis,Taraxacum agg.,Trifolium campestre,Trifolium dubium,Trifolium pratense,Trifolium repens,Urtica dioica,Veronica agrestis,Veronica arvensis,Veronica chamaedrys,Veronica filiformis,Veronica officinalis,Veronica serpyllifoilum,Veronica spp,Vicia cracca,Vicia sepium,Viola
NY01-Croasdale 1,NY 09283 17622,North Lakes,309283,517622,,,,03/07/2014,100,,,,100,,,,56.25,100,,,,,,,100,,100,,,6.25,,,93.75,,6.25,,,,,,,,87.5,,,68.75,,,,,,,100,,,,,,,,,,,,53.33333333,6.25,,,,,,,,,6.25,68.75,,,,,,,75,,,,,,,,,,,,,100,,,6.25,,100,,,93.75,93.75,100,,,,,,,,,,,,100,,100,50,100,,,,,,,6.25,,,,
NY01-Ennerdale,NY06366 18027,North Lakes,306366,518027,NY0618 3602,,,03/07/2015,87.5,,,,100,,,,12.5,93.75,12.5,,,,93.75,,100,,,,,,,,12.5,18.75,,,6.25,,31.25,,,,6.25,,,43.75,,50,,37.5,43.75,62.5,43.75,,,,,,,,,,,,18.75,6.25,,,,,,,,,,37.5,,6.25,43.75,12.5,6.25,25,,37.5,31.25,,43.75,50,81.25,37.5,,,,43.75,,100,,,56.25,,100,,,6.25,87.5,37.5,,,,,,,,12.5,,,,37.5,,68.75,75,93.75,,,,,,,,,,,
NY12-Lorton,NY15220 03450,North Lakes,315220,503450,NY1522 0345 & NY1422 9144,01/07/2006,Hay and plug plants,03/07/2013,100,,,12.5,100,,,,6.25,100,,,,,68.75,,93.75,,18.75,,,,6.25,,12.5,,,,,,,,,,,,,,,,,,,6.25,12.5,,,,,,50,,,,,,100,,,,,,,,,,,93.75,,,,,,,81.25,87.5,31.25,,,6.25,,,,,,,,87.5,,,100,,100,,,37.5,100,37.5,,,,,,,,,,,,37.5,,50,100,100,,,,,,,,,,,
NY12-Low Stanger 2,NY13595 27367,North Lakes,313595,527367,NY1327 4478,,,01/06/2015,100,,6.25,12.5,75,,,,,,,,,,6.25,,,68.75,12.5,,,,,,,,,,6.25,,,,,,,,,,,,,,,31.25,12.5,,,,,,,,,,,,12.5,6.25,,,,,,,,,,,43.75,,,,,,18.75,,,,,,,,,,,,,50,,,,,43.75,,,68.75,37.5,50,,18.75,43.75,,,,,,,,,,,31.25,18.75,62.5,,,,,,,62.5,,,,
NY12-Lowstanger 1,NY13421 27776,North Lakes,313421,527776,NY1327 6037,,,09/07/2013,100,,,,37.5,,,,,25,,,,,37.5,,93.75,,12.5,,,,,,,,,,62.5,,,,,,,,,,,,,,,,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,6.25,,6.25,,,,,,,,,,,6.25,,,6.25,,87.5,,,75,56.25,87.5,,,,,,,,,,,,12.5,,6.25,18.75,50,,,,,,,,,,,
NY12-Lowstanger 2,NY13595 27367,North Lakes,313595,527367,NY1327 4478,,,10/07/2013,100,,,,75,,,,,,,,,,,,81.25,,6.25,,,,,,,,,,,6.25,,,,,,,,,,,,,,12.5,12.5,,,,,,,,,,,,,6.25,,,,,50,,,,,12.5,,,,68.75,,6.25,,,,,37.5,,,,,,31.25,,,18.75,,6.25,6.25,,31.25,,,93.75,25,56.25,,37.5,25,6.25,,,,,,,,12.5,,,25,31.25,,,,,,,,,,,
NY20-Midfell 1,NY28939 06133,North Lakes,328939,506133,NY2806 9613,,,27/07/2013,87.5,,100,0,6.25,,,,50,75,,,,25,,93.75,18.75,93.75,,,,,,43.75,,,,87.5,,12.5,,,,,,,18.75,,,,,,81.25,68.75,,6.25,,,,18.75,,,,,,62.5,,,,,,,,,,,18.75,,,,,,,25,,43.75,,,,,,,,,,,18.75,,,56.25,,18.75,,,100,87.5,81.25,,25,,,,,,,,,,6.25,,,50,100,,,6.25,,,,,,,,,
NY20-Midfell 2,NY28544 05982,North Lakes,328544,505982,NY28055497,,,31/07/2013,25,,,,18.75,,,,,25,,,,,6.25,,25,6.25,,,,,,,,,,,25,,,,,,,,,6.25,,,,,,12.5,25,,,,,,12.5,,,,,,6.25,,6.25,,,,,,,,,18.75,,,,6.25,,,,,25,,,,,,,,,,,,,,18.75,,25,,,,25,18.75,,12.5,6.25,,,,,,,,,,,,6.25,25,,,,,,,,,,,
NY20-Midfell 3,NY28586 05919,North Lakes,328586,505919,NY2805 5892,,,30/07/2013,100,,0,,100,,,,,100,,,,,50,,100,,,,,,,,,,,,87.5,,81.25,,,,,,,,,,,,,93.75,100,,,,,,100,,,,,,6.25,,,,,,,,,50,,12.5,,,,6.25,,,,,100,,,,,31.25,,,,,,43.75,,,93.75,,6.25,,,100,100,100,,25,0,6.25,,,,,,,,6.25,,,,25,,,,,,,,,,,
NY20-Midfell 4,NY28289 05950,North Lakes,328289,505950,NY2805 2896,,,31/07/2013,100,6.25,,,43.75,,,,,87.5,,,,,31.25,,93.75,6.25,100,,,,,,31.25,,12.5,,,,,,,,,,,6.25,,,,,,56.25,93.75,,,,,,31.25,,,,,,68.75,,,,,,,,,6.25,,6.25,,,,,,,,68.75,75,,,,,6.25,,,,,,43.75,,,87.5,,,81.25,,62.5,87.5,87.5,,12.5,,12.5,,,,,,,,12.5,,,12.5,100,,,12.5,,,,,,,,
