Meadow Life Site Ref,Farm,Field number (RLR),NGR,Area,Easting,Northing,Surveyor's name(s),restdate,resttype,Date,Agrostis capillaris,Agrostis stolonifera,Agrostis spp,Alopecurus geniculatus,Alopecurus pratensis,Anthoxanthum odoratum,Arrhenatherum elatius,Avenula pratense,Avenula pubescens,Briza media,Bromus hordaceus,Cynosurus cristatus,Dactylis glomerata,Deschampsia cespitosa,Elymus repens,Festuca ovina,Festuca rubra,Festulolium loliaceum,Festuca sp (rubra or ovina),Glyceria fluitans,Holcus lanatus,Holcus mollis,Lolium perenne,Molinia caerulea,Phleum bertolonii,Phleum pratense,Poa annua,Poa pratensis,Poa spp,Poa trivialis,Schedonorus pratensis,Trisetum flavescens,Vulpia bromoides,Achillea millefolium,Achillea ptarmica,Ajuga reptans,Alchemilla glabra,Alchemilla xanthochlora,Alchemilla sp,Anemone nemorosa,Anthriscus sylvestris,Bellis perennis,Caltha palustris,Campanula rotundifolia,Cardamine flexuosa,Cardamine pratensis,Carex caryophyllea,Carex disticha,Carex flacca,Carex hirta,Carex nigra,Carex spp,Carex ovalis,Carex panicea,Centaurea nigra,Cerastium fontanum,Cerastium glomeratum,Cirsium arvense,Cirsium heterophyllum,Cirsium palustre,Cirsium vulgare,Conopodium majus,Crepis capillaris,Crepis paludosa,Cruciata laevipes,Dactylorhiza fuchsii,Digitalis purpurea,Epilobium parviflorum,Equisetum arvense,Equisetum sylvaticum,Euphrasia agg.,Filipendula ulmaria,Galium aparine,Galium mollugo,Galium odoratum,Galium palustre,Galium saxatile,Galium spp,Gallium verum,Geranium pratense,Geranium sylvaticum,Heracleum sphondylium,Hieracium pilosella,Hyacinthoides non scripta,Hypochaeris radicata,Juncus acutiflorus,Juncus articulatus,Juncus bufonius,Juncus conglomeratus,Juncus effusus,Juncus inflexus,Lathyrus pratensis,Leontodon autumnalis,Leontodon hispidus,Leucanthemum vulgare,Listera ovata,Lotus corniculatus,Lotus pedunculatus,Luzula campestris,Luzula multiflora,Lychnis flos-cuculi,Medicago spp,Montia fontana,Myrrhis odorata,Myosotis arvensis,Myosotis discolor,Ophioglossum vulgatum,Persicaria bistorta,Plantago lanceolata,Plantago major,Potentilla erecta,Primula veris,Prunella vulgaris,Pteridium aquilinum,Ranunculus acris,Ranunculus bulbosus,Ranunculus ficaria,Ranunculus repens,Rhinanthus minor,Rumex acetosa,Rumex crispus,Rumex obtusifolius,Sanguisorba officinalis,Senecio jacobea,Silene dioica,Sonchus oleraceus,Stachys officianalis,Stellaria alsine,Stellaria graminea,Stellaria holostea,Stellaria media,Succisa pratensis,Taraxacum agg.,Trifolium campestre,Trifolium dubium,Trifolium pratense,Trifolium repens,Tussilago farfara,Urtica dioica,Veronica agrestis,Veronica arvensis,Veronica chamaedrys,Veronica filiformis,Veronica officinalis,Veronica serpyllifolia,Veronica spp,Veronica persica,Vicia cracca,Vicia sepium,Viola spp
NY01-Ennerdale,High leys,NY0617 2994,NY06360 17947,North Lakes,306360,517947,diane dobson,,,13/07/2006,80,30,,,10,100,,,10,10,,90,40,,,,30,,,,60,,10,,,,,,,,10,,,,,,,,50,,,,10,,,,,,20,,,,10,10,90,,,,,,,,,,,30,,,20,,90,,,,,,,,,,,10,,,,10,,,,10,,20,,90,40,10,20,10,,,10,,,,,,,,100,,,,,,60,,,,90,,,,,,,,,,,,,,,,,90,90,,,,,,,,,,,,,
NY12-Dubs Fold,Dubs Fold,NY1492 2244 and NY1502 2245,ny14927 22421,North Lakes,314927,522421,Diane Dobson,,,01/07/2008,100,,,,70,100,,,,,20,100,50,,,,20,,,,90,,80,,10,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,20,,,,,,,,10,,,,,,,,,,,,,,,,80,,,,10,,100,,,20,100,60,,,,,,,,,,,,,30,,,60,80,,,,,,,,,,,,,
NY12-Dubs Fold,Dubs Fold,NY14922244 and NY15022245 as one unit,ny14902 22443,North Lakes,314902,522443,diane dobson,,,01/07/2006,100,,,,30,100,,,,,20,90,50,,,,,,,,90,,70,,10,20,,10,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,40,,100,,,30,100,60,,20,,,,,,,,,,,20,,,20,80,,,,,,,,,,,,,
NY12-Dubs Fold,Dubs Fold,NY1492 2244 & NY1502 2245,NY14920 22440,North Lakes,314920,522440,claire cornish,,,20/07/2010,88,,,,50,100,6,,,,,75,75,,,,31,,,,94,,6,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,12,25,,,,,,,63,,,,,,,,100,,,,,,,,,,6,,,,56,,,,,,,6,6,13,,,,,,,,,,,,,,,94,,,,56,,100,,,50,100,94,,6,,,,,,,6,,,,50,,6,81,69,,,,,,,,,,,,,
NY21-Newlands 1,High Snab,ny2219 1962,ny22171 19640,North Lakes,322171,519640,janet ashton,,,27/07/2011,100,,,,,100,40,,,,,40,70,,,,90,,,,90,,30,,,,,,,,,10,,40,,,,,,,,,,20,,,,,,,,,,,70,,,,,,,40,,,,,,,,,70,,,,,,,,,,,80,20,,40,,,,,,,20,50,,10,,50,90,,,,,,,,,,,70,,20,,40,,70,,,,30,70,,,10,,,,,,100,,,,,,,90,90,,,,,,,,,,,,10,
NY21-Newlands 1,High Snab,ny2219 1962,ny22190 19620,North Lakes,322190,519620,claire cornish,,,13/07/2010,100,,,,,100,,,,,,10,80,,,,100,,,,70,,30,,,,,30,,20,,,,30,,,,,,,,,,,,,,,,,,,,,,90,,10,,,,,,,,,,,,,80,,,,,,,,,,,40,,,10,,,,,,,80,10,,,,,40,10,,,,,,,,,,30,,,,,,80,,,10,60,100,,,,,,,,,10,,,,,,,10,100,,,,,30,,,,,,,10,
NY21-Newlands 1,High Snab,ny2219 1962,ny22171 19640,North Lakes,322171,519640,claire cornish,,,11/06/2009,100,,,,,100,,,,,,30,80,,,100,,,,,100,,20,,,,50,10,,60,,,,30,,,,,,,,,,10,,,,,,,,,,,,70,,10,,,,,,,,,,,,,,,,,,,10,,,,,,,,10,,,,,,,60,,,,,50,10,70,,,,,,,,,,10,,,,,,80,,10,,,100,,,,,,,,,30,,,,20,,,,60,,,,,80,,,,,,,10,
NY21-Newlands 1,High Snab,ny2219 1962,ny22171 19640,North Lakes,322171,519640,claire cornish,,,01/07/2012,80,,,,,100,,,,,,70,70,,,,80,,,,100,,40,,,,,20,,40,,20,,20,,,,,,,,,,,,10,,,,,,,,,,10,,,,,,50,,,,,,,,,60,,,,,,,,,,,20,,,20,,,,,,,60,70,40,,,50,10,40,,,,,,,,,,100,,,,,,80,,,40,90,100,,,,,,,,,30,,,,20,,,50,90,,,,,30,,,10,,,,10,
NY21-Newlands 2,High Snab,NY2119 7802,ny21791 19032,North Lakes,321791,519032,janet ashton,,,27/07/2011,100,,,,,100,,,,,,60,,,,,,,,,100,,10,,,,,,,,,,,,20,,30,,,,,,,,,10,,,,,,,,,,90,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,50,,,,,,,40,90,,,,,80,,,,,,,,,,,100,,20,,,,100,,,50,100,90,,30,30,,,,,,10,,,,60,,,100,30,,,,,,,,,,,10,10,
NY21-Newlands 2,High Snab,NY2119 7802,ny21791 19032,North Lakes,321791,519032,claire cornish,,,13/07/2010,100,,,20,,100,,,,,,100,,,,,20,,,,90,10,90,,,,,,,40,,,,,20,,,,,,,30,,,,,,,,,,,10,,,20,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,10,,,,,30,50,,,,,40,,,,,,,,,,,,,,,,,80,,,80,100,70,,,10,,,,,,,,,,20,,,80,100,,,,,,,,,,,,,
NY21-Newlands 2,High Snab,ny2119 7802,ny21791 19032,North Lakes,321791,519032,claire cornish,,,12/06/2009,100,,,,50,100,,,,,,100,,,,,50,,,,100,,63,,,,,25,,75,,,,,,,,,,,,100,,,,,,,,,,,,,,75,25,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,13,25,,,,,25,,,,,100,,,38,,,13,,,,,,100,,,88,25,100,,38,,,,,,,,,,,63,,,38,75,,,,,,,,13,,,13,,
NY21-Newlands 2,High Snab,ny2119 7802,ny21791 19032,North Lakes,321791,519032,claire cornish and sarah johnson,,,26/06/2012,100,,,,25,100,,,,,,100,25,,,,25,,,,100,,50,,,,,25,,,,,,,,,,,,,,25,,,,,,,,,,,,,,75,,,,,,25,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,75,,,,,25,,,,,25,,,,,,75,,,,,,100,,,75,100,100,,50,,,,,,,,,,,75,,,75,75,,,,,,,,,,,,,
NY21-Newlands 2,High Snab,ny2119 7802,ny21190 78020,North Lakes,321190,578020,claire cornish,,,26/06/2012,100,,,,25,100,,,,,,100,25,,,,25,,,,100,,50,,,,,25,,25,,,,,,,,,,,,25,,,,,,,,,,,,,,75,,,,,,25,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,75,,,,,25,,,,,25,,,,,,75,,,,,,100,,,75,100,,100,50,,,,,,,,,,,75,,,75,75,,,,,,,,,,,,,
NY21-Newlands 3,High Snab,NY2119 6603,ny21666 19031,North Lakes,321666,519031,claire cornish and Sarah johnson,,,26/06/2012,70,,,,,100,,,,,,100,,,,,80,,,,80,,10,,,,,10,,,,,,70,,,,,,,,60,,,,20,,,,,,,,,,100,,,,,,60,40,,,,,,,,80,,,,,,,,,,,,,,30,,,,,,,,100,,,,,,,,,,,,,10,,,70,,,,,,100,,,70,100,100,,,,,,,,,,,,,80,,,80,100,,,,,30,,,10,,,,,
NY21-Newlands 3,High Snab,NY2119 6603,NY21190 66030,North Lakes,321190,566030,claire cornish,,,13/07/2010,100,,,10,,100,,,,,,100,,,,,20,,,,100,,70,,,,,10,,30,,,,50,10,,,,,,,,,,,,,,,,,,10,,,70,,,,,,,30,,,,,,,,80,,,,,,,,,,,,,,20,,,,,,,,80,,,,,,,,,,,,,,,,70,,,,,,70,,,40,80,100,,,,,,,,,,,,,50,,,60,100,,,,,,,,,,,,,
NY21-Newlands 3,High Snab,ny2119 6603,ny21660 19030,North Lakes,321660,519030,janet ashton,,,01/07/2011,100,,,,,100,,,,,,60,,,,,30,,,,90,,,,,,,,,,,,,60,10,,,,,,,10,,,,20,,,,,,,10,,,90,,,,,,30,60,,,,,,,,90,,,,,,,,,,,,,,40,10,,,,10,,,100,,,,,,,,,,,,,,,,90,,,,10,,90,,,90,100,100,,,20,,,,,,,,,,30,,,70,90,,,,,,,,,,,,,
NY21-Newlands 3,High Snab,ny2119 6603,ny21660 19030,North Lakes,321660,519030,claire cornish,,,12/06/2009,100,,,13,,100,,,,,,100,,,,,50,,,,100,,25,,,,,38,,63,,,,50,,,,,,,,75,,,,,,,,,,,,,,75,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,63,,,,,,25,,,,38,,,,,,25,,,,,,100,,13,63,,100,,,,,,,,,,,,,38,,,38,88,,,,,,,,13,,,,,
NY22-Braithwaite 2,Braithwaite,NY2723 4815,ny27492 23148,North Lakes,327492,523148,claire cornish,,,25/05/2010,,,,10,90,100,,,,,10,,10,,,,,,,,100,,40,,,,,,,10,,,,,,,,10,,,,60,,,,80,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,50,,,,,,100,,10,90,30,90,,,20,,,,,,,,,,70,,,,10,,,20,,,,,10,,,,,
NY22-Briathwaite 1,Braithwaite,NY2723 3425 now ny2723 4425,ny27328 23242,North Lakes,327328,523242,claire cornish,,,25/05/2010,,,,,90,100,,,,,,,20,,,,10,,,,90,,100,,,50,,10,,,,,,,,,,,,,,70,,,,60,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,30,,,10,,,,,,100,,10,80,,80,,30,,,,,,,,,,,90,,,,10,,,,20,10,,,10,,,,,
NY22-Millbeck,Millbeck,ny2425 5551(now changed to Ny2425 5650),ny24549 25520,North Lakes,324549,525520,claire cornish,,,01/07/2008,100,,,,27,73,,,,,6,93,73,,,,,,27,,80,,20,,,13,20,,,100,20,,,,,7,,,,,,,,,,,,,,,,,,,53,93,13,,,,,6,,,,,,,,,20,,,,,,,,,,20,27,,,,7,,,,,,27,,13,,,20,,,,,,,,,27,,,100,,6,,,,100,33,,40,87,20,,,93,,,,,,,,,,7,,,40,67,,,,,,,,,,,20,7,
NY23-Dash Farm 1,Dash farm,NY2632 6465,NY26657 32660,North Lakes,326657,532660,claire cornish,,,25/06/2009,10,,,,20,10,,,,,,90,20,,,,7,,,,10,,,,,,,,,80,,80,,10,,,,,,,,40,,,,,,,,,,,,,,90,,30,,,,40,,,,,,,,,20,,,,,,,,,,,,,,70,,,,,,,,30,,,,,,,,,,,,,,,,100,,,,50,,100,80,,30,,100,,10,20,,,,,,,,,,40,,,100,100,,,,,40,,,,,,,,
NY23-Dash Farm 1,Dash farm,NY2632 6465,NY26657 32660,North Lakes,326657,532660,claire cornish,,,16/07/2012,100,,,,,100,,,,,,100,,,,,44,,,,,11,100,,,11,22,11,,,,88,,33,,,,,,,,,,,,,,,,,,,,,,44,,33,,,,55,44,,,,,,,,100,,,,,,,,,,,,,,55,,,,,,,11,44,,,,22,,,,,,,,,,,,100,,,,,,100,,,11,100,88,,,11,,,,,,33,,,,,,,100,11,,,,,,,,,,,,,
NY23-Dash Farm 2,Dash farm,NY2631 9295,ny26916 31947,North Lakes,326916,531947,claire cornish,,,25/06/2009,100,,,,,100,,,,,,88,,,,13,88,,,,,75,13,,,,,,,13,,,,88,,,,,,,,63,,,,,13,,,,,,,,,75,,,,88,13,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,50,,,,,,88,,,,,,,,,,100,,13,,75,,100,,,50,,88,,,,,,,,,,,,,75,,,,100,,,,,50,,,13,,,,,
NY23-Greenrigg 1,greenrigg cottage,ny2938 1817,ny29128 38175,North Lakes,329128,538175,claire cornish,,,28/07/2009,80,,,,,100,,,,,,100,,,,,60,,,,100,,80,,,20,,,,,40,,,,,,,,,,,,,,,,,,,,20,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,40,,,,,,,,,,,,,,,,,,,,,,100,,,80,,100,,20,,,,,,,,,,,40,,,,80,,,,,,,,,,,,,
NY23-Greenrigg 2,greenrigg cottage,ny2938 1217,ny29184 38166,North Lakes,329184,538166,claire cornish,,,28/07/2009,100,,,,14,100,,,,,,100,14,,,,57,,,,100,14,43,,,,,,,14,,,,14,,,,,,,,,,,,,,,,,,,,,,29,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,14,,,,,,,,,,,,,,,,86,,,71,43,100,,,,,,,,,,,,,14,,,,71,,,,,14,,,,,,,,
NY40-Troutbeck,Matthew Howe,,NY40392 01603,North Lakes,340392,501603,Janet Ashton,,,10/08/2008,100,,,,,56,44,,,,,0.6,88,,0.6,,50,,,,69,,56,,,19,,,,75,,,,0.6,,,25,,,,,,,,,,,,,,,,,,75,81,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.6,,13,,,,,,,,,,,,,,50,44,,,100,,,,,100,,75,,25,63,,,,,,13,,,,,,0.6,69,69,,,,,,,,,,,13,,
NY51-Askham 2,High Hullock Howe,NY5018 4109,ny50410 18100,North Lakes,350410,518100,Claire Cornish and Harry kay,,,01/07/2012,,,,,30,80,,,,,10,100,30,,,,70,,,,90,,40,,,,,30,,10,,,,10,,,,,,,,,,,,,,,,,,,,,,60,,,,,,80,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,40,30,20,,,,,,,,,,,10,,,90,,,,,,100,50,,20,90,90,,,,,,,,,,,,,20,,,10,100,,,,,20,,,,,,,,
NY51-Askham 3,High Hullock Howe,NY5018 5613,ny50537 18132,North Lakes,350537,518132,claire cornish,,,01/07/2012,,,,20,,100,,10,,,,100,10,,,,80,,,,100,,30,,,,10,20,,10,,10,,,,,,,,,,60,,,,,,,,,,,,,30,70,,,,,,40,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,50,30,,,,,,,,,,,60,,,90,,,,,,100,,,20,90,100,,10,,,,,,,,,,,30,,,50,90,,,,,,,,,,,,,
NY51-Askham 3,High Hullock Howe,NY5018 5613,NY50537 18132,North Lakes,350537,518132,claire cornish,,,01/07/2010,63,,,,,38,,,,,,100,,,,,38,,,,75,,25,,,,,,,25,,13,,,,,,,,,,,,,,,,,,,,,,,38,38,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,13,,,13,25,,,,,,,,,,,,,,,100,,,,,,100,,,38,100,,,,,,,,,,,,,,13,,,13,100,,,,,,,,,,,,,
NY60-Bowderdale Head,bowderdale head,NY6703 9988,NY67030 99880,Pennines,367030,599880,clairecornish,,,04/08/2010,50,,,25,,50,,,,,,,,5,,,,,,,50,,50,,,5,,,,25,50,,,5,,,,,,,,,5,,,5,,,,,25,,25,,,25,,,,5,5,,,,,,,,,,,,,,,25,,,,,,,,,,,5,,,25,,,75,,,,,,,,,,,,,,,,25,,,,,,50,,,75,,50,,,,,,,,,,,,,,,,25,25,,5,,,,,,,,,,,
NY60-Bowderdale Head,bowderdale head,NY6703 9988,NY67030 99880,Pennines,367030,599880,clairecornish,,,04/06/2012,,,,30,,90,,,,,,90,,,,,10,,,,90,,90,,,,30,10,,60,,,,,,,,,,,,20,40,,,70,,,,,,,,,,80,10,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,10,,,,50,,,,,,,,,,70,,,60,,,,,,,,,90,,,60,30,80,,10,,,,,,10,,,,,,,,,30,,,,,,,,,,,,,
NY60-Coat Flatt 1,Coat Flatt,NY6206 5520,ny62553 06201,North Lakes,362553,506201,claire cornish,,,01/07/2008,50,,,,,,,,,,25,25,,,,,,,,,5,,50,,,,,5,,50,,,,,,,,,,,5,,,,,5,,,,,,,,,,50,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,25,,,25,,,,,,50,,,50,,50,,,,,,,,,,,,,,,,25,25,,,,,25,,,,,,,5,
NY60-Coat Flatt 1,Coat Flatt,NY6206 5520,ny62553 06201,North Lakes,362553,506201,claire cornish,,,21/07/2009,100,,,,56,89,,,,,,100,33,,,,56,,,,100,,78,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,11,56,,11,,,,,,,,,,,,,,78,,,,,,100,,,89,67,67,,,,,,,,,,,,,,,,89,100,,,,,11,,,,,,,,
NY60-Coat Flatt 1,Coat Flatt,NY6206 5520,ny62553 06201,North Lakes,362553,506201,claire cornish,,,07/06/2010,100,,,,20,,,,,,,100,20,,,,100,,,,90,,100,,,,,70,,40,,10,,,,,10,,,,,20,,,,50,,,,,,,,,,70,,,,,,50,,,,,,,,,100,,,,,,,,,,,,,,20,,,,,,,,40,,10,,,,50,,,,,,,80,,,80,,,,,,100,,,70,100,90,,,,,,,,,,,,,20,,,100,100,,,,,30,,,10,,,,,
NY60-Coat Flatt 1,Coat Flatt,NY6206 5520,ny62553 06201,North Lakes,362553,506201,A.N. OTHER,,,01/06/2012,10,,,,20,100,,,,,10,100,50,,,,100,,,,100,,30,,,,,40,,60,,,,,,,20,,,,10,,,,,70,,,,,,,,,,90,,,,,,70,,,,,,,,,100,,,,,,,,,,,,,,30,,,,,,,40,40,10,10,,,,50,,,,,,,40,,,100,,,,10,,100,10,,80,100,100,,,,,,,,,,,,,20,,,100,100,,,,,20,,,,,,,,
NY60-Coat Flatt 2,Coat Flatt,NY6206 5905,ny62580 06055,North Lakes,362580,506055,claire cornish,,,01/07/2008,50,,,,25,,,,,,,50,,,,,50,,,,25,,25,,,,,,,50,,,,,,,,,,,,25,,,,25,,,,,,,,,,25,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,5,,,,,,,,,,,,,,25,,,,,,50,,,25,,50,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,25,,
NY60-Coat Flatt 2,Coat Flatt,NY6206 5905,ny62580 06055,North Lakes,362580,506055,claire cornish,,,21/07/2009,100,,,,30,80,,,,,20,90,20,,,,80,,,,100,,40,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,10,,,90,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,,,,,,,,,,,,,,,10,,,,,,100,,,70,10,80,,,,,,,,,,,,,,,,10,90,,,,,30,,,,,,10,,
